Name,University,Course,Start Year,End Year,GPA,Preferred Career,Skills,Certifications,Preferred Location
Matthew Parker,IIIT Hyderabad,Data Science,2019,2023,7.7,Civil Project Manager,"Excel, AutoCAD, MATLAB, Linux, Java",,Bangalore
Jordan Martinez,IIT Delhi,Biotech,2022,2026,8.44,Software Engineer,"Java, Python, Excel, Linux",Cisco CCNA,Chennai
Jeremy Phillips,IIIT Hyderabad,AI & ML,2019,2023,6.04,Data Analyst,"AutoCAD, Python, R",Azure Fundamentals,Ahmedabad
Alyssa Thompson,NIT Warangal,Electronics,2018,2022,7.38,Software Engineer,"AutoCAD, R, Excel, Linux, Java",Scrum Master,Pune
Vickie Clark,NIT Warangal,AI & ML,2021,2025,6.98,Software Engineer,"Java, SQL, AutoCAD","Cisco CCNA, Scrum Master",Ahmedabad
Monique Chambers,IIT Bombay,Biotech,2019,2023,6.57,Data Analyst,"Excel, Power BI, R, TensorFlow",AWS Certified,Mumbai
Chelsea Norton,NIT Warangal,Cybersecurity,2015,2019,8.02,Biotech Researcher,"Linux, SQL, Excel, AutoCAD, MATLAB",Scrum Master,Kolkata
Sandra Ayala,NIT Warangal,Cybersecurity,2019,2023,7.15,ML Engineer,"TensorFlow, R","Cisco CCNA, Google Data Analytics",Delhi
Kelsey Jones,IIT Madras,AI & ML,2022,2026,9.2,Biotech Researcher,"Java, Python, TensorFlow, Linux, R","Google Data Analytics, Cisco CCNA",Hyderabad
Jason Sampson,IIT Bombay,Biotech,2019,2023,9.17,ML Engineer,"AutoCAD, Python, Power BI, TensorFlow, Excel","AWS Certified, AutoCAD Professional",Pune
Eric Smith,IIIT Hyderabad,Computer Science,2018,2022,8.1,ML Engineer,"Power BI, R, C++, Python",Google Data Analytics,Pune
Gregory Chapman,IIIT Hyderabad,Cybersecurity,2019,2023,7.66,Civil Project Manager,"Power BI, TensorFlow, AutoCAD, MATLAB",,Mumbai
Joseph Anderson,IIIT Hyderabad,Computer Science,2022,2026,6.38,Systems Engineer,"MATLAB, Excel, Python, Linux, Power BI","AutoCAD Professional, Scrum Master",Hyderabad
Ryan Davis,IIT Delhi,Computer Science,2015,2019,9.3,Data Analyst,"R, SQL","Google Data Analytics, Azure Fundamentals",Pune
Victor Adams,BITS Pilani,AI & ML,2017,2021,7.81,Data Analyst,"AutoCAD, R",,Chennai
Daniel Sherman,IIT Delhi,Computer Science,2020,2024,8.58,ML Engineer,"SQL, R, AutoCAD, C++",,Hyderabad
Mr. Daniel Williams,NIT Warangal,Civil,2018,2022,7.72,Biotech Researcher,"R, TensorFlow, Excel","Azure Fundamentals, Cisco CCNA",Delhi
Ronald Kirby,IIT Bombay,AI & ML,2018,2022,9.71,ML Engineer,"C++, Linux, SQL, TensorFlow","Scrum Master, Cisco CCNA",Delhi
Brett Johnson,BITS Pilani,Civil,2019,2023,9.46,Biotech Researcher,"SQL, Excel",Google Data Analytics,Chennai
Todd Smith,BITS Pilani,Mechanical,2017,2021,8.42,Civil Project Manager,"Python, SQL, R, Linux, C++","Scrum Master, AutoCAD Professional",Kolkata
Francis Rose,IIIT Hyderabad,Data Science,2016,2020,6.01,Software Engineer,"SQL, Power BI, Linux, Python, MATLAB",,Kolkata
Victor Navarro,IIIT Hyderabad,Electronics,2021,2025,9.46,Civil Project Manager,"Power BI, AutoCAD, Python, R",Azure Fundamentals,Pune
Ann Beck,BITS Pilani,Computer Science,2017,2021,9.81,ML Engineer,"C++, MATLAB, SQL","Azure Fundamentals, AWS Certified",Mumbai
Julie Silva,VIT,Biotech,2022,2026,9.02,Data Analyst,"Power BI, MATLAB",,Pune
Ann Price,IIIT Hyderabad,Electronics,2015,2019,6.98,Systems Engineer,"Java, Python, Power BI, Excel",,Chennai
Michael Freeman,NIT Warangal,Data Science,2018,2022,6.46,Cybersecurity Analyst,"Python, AutoCAD, Linux, C++","AWS Certified, Cisco CCNA",Pune
Natalie Carroll,NIT Trichy,Cybersecurity,2020,2024,9.45,Systems Engineer,"Python, C++, MATLAB",Scrum Master,Chennai
Jay Campbell,IIT Bombay,Electronics,2018,2022,6.57,Civil Project Manager,"Power BI, MATLAB, SQL",AutoCAD Professional,Hyderabad
Kara Parks,NIT Warangal,Civil,2022,2026,8.12,Mechanical Design Engineer,"Excel, Power BI, Python, C++",Cisco CCNA,Ahmedabad
Jose Hudson,IIT Bombay,AI & ML,2022,2026,8.35,Data Analyst,"AutoCAD, MATLAB, SQL",,Bangalore
Tracy Campbell,VIT,Cybersecurity,2018,2022,7.96,Software Engineer,"MATLAB, C++",AWS Certified,Mumbai
Amy Hamilton,IIT Bombay,Civil,2019,2023,7.8,ML Engineer,"Linux, C++, Python, Power BI",Scrum Master,Pune
Daniel Collins,BITS Pilani,Mechanical,2022,2026,7.62,Software Engineer,"TensorFlow, Power BI, Excel, MATLAB",,Delhi
Mark Wheeler,NIT Warangal,Cybersecurity,2015,2019,9.85,Biotech Researcher,"Linux, Python, MATLAB, SQL, Power BI",,Delhi
Aaron Leonard,IIT Delhi,Computer Science,2021,2025,7.66,Civil Project Manager,"MATLAB, TensorFlow, Excel",Azure Fundamentals,Pune
Chelsea Vaughan,IIIT Hyderabad,Computer Science,2016,2020,8.12,ML Engineer,"R, Python, Linux",,Chennai
Vanessa Walker,BITS Pilani,Computer Science,2020,2024,8.35,Civil Project Manager,"SQL, TensorFlow, Power BI",Cisco CCNA,Ahmedabad
Catherine Washington,IIT Delhi,Cybersecurity,2018,2022,7.47,Biotech Researcher,"Linux, SQL, MATLAB, Java","Google Data Analytics, Cisco CCNA",Bangalore
Adam Johnson,BITS Pilani,AI & ML,2018,2022,9.58,Cybersecurity Analyst,"TensorFlow, AutoCAD, Java, Linux, Power BI",,Pune
Janice Garcia,IIT Bombay,Data Science,2021,2025,8.63,ML Engineer,"R, MATLAB, AutoCAD, Excel, TensorFlow",,Bangalore
Casey Silva,VIT,Electronics,2015,2019,7.1,Data Analyst,"Power BI, AutoCAD, R, TensorFlow, Excel","AutoCAD Professional, Azure Fundamentals",Bangalore
Kelly Walker DVM,IIIT Hyderabad,Electronics,2021,2025,7.88,Mechanical Design Engineer,"TensorFlow, Power BI",,Delhi
Vickie Chandler,IIT Delhi,Cybersecurity,2017,2021,9.09,Civil Project Manager,"MATLAB, Linux",,Pune
Kristin Madden,IIT Bombay,Mechanical,2015,2019,8.55,Systems Engineer,"Java, C++, SQL, TensorFlow",,Ahmedabad
Michele Robinson,IIIT Hyderabad,Cybersecurity,2020,2024,9.42,ML Engineer,"Java, Linux, TensorFlow",Cisco CCNA,Delhi
Benjamin Pollard,IIIT Hyderabad,Civil,2021,2025,8.94,Systems Engineer,"Excel, SQL","AutoCAD Professional, AWS Certified",Bangalore
Jamie Smith,VIT,Biotech,2019,2023,6.34,Software Engineer,"AutoCAD, C++, Linux","AutoCAD Professional, Google Data Analytics",Kolkata
Kenneth Ryan,IIT Madras,Electronics,2018,2022,6.79,Mechanical Design Engineer,"Power BI, SQL, Linux",,Chennai
Sherry Harris,NIT Warangal,Civil,2020,2024,6.46,Mechanical Design Engineer,"Linux, C++, MATLAB","Azure Fundamentals, AutoCAD Professional",Delhi
Beth Ryan,IIIT Hyderabad,Data Science,2018,2022,7.81,Civil Project Manager,"Java, Linux",,Ahmedabad
Dr. Denise Sanchez,BITS Pilani,Electronics,2022,2026,7.86,Cybersecurity Analyst,"C++, Power BI","AWS Certified, AutoCAD Professional",Ahmedabad
Michael Ewing,BITS Pilani,Mechanical,2021,2025,7.33,Data Analyst,"TensorFlow, Power BI, Python, SQL, Java","Google Data Analytics, Scrum Master",Kolkata
Jennifer Hooper,VIT,Biotech,2021,2025,8.57,Data Analyst,"Java, Excel, C++","AWS Certified, Cisco CCNA",Hyderabad
Christopher Russell,VIT,Biotech,2019,2023,6.46,ML Engineer,"Linux, SQL, Python, R",,Delhi
Cathy Walton,NIT Trichy,Computer Science,2021,2025,9.91,Software Engineer,"Java, Python, Excel, TensorFlow",Cisco CCNA,Chennai
Tammy Morris,IIT Madras,Data Science,2018,2022,8.99,Mechanical Design Engineer,"R, AutoCAD, SQL",,Bangalore
Mariah Gonzalez,NIT Warangal,Electronics,2021,2025,7.58,Data Analyst,"R, MATLAB, Linux, Java",AutoCAD Professional,Chennai
Kristen Hickman DDS,BITS Pilani,Cybersecurity,2019,2023,7.13,Cybersecurity Analyst,"Power BI, R, SQL, Excel",Scrum Master,Mumbai
Antonio Mitchell,IIIT Hyderabad,Data Science,2015,2019,6.22,Cybersecurity Analyst,"TensorFlow, Java, Power BI, C++, Linux","Cisco CCNA, Scrum Master",Bangalore
Richard Mckay,IIT Bombay,Computer Science,2019,2023,6.07,Biotech Researcher,"SQL, Power BI, C++, AutoCAD, TensorFlow","Google Data Analytics, AWS Certified",Bangalore
Michael Robinson,IIT Madras,Cybersecurity,2021,2025,6.49,Software Engineer,"Linux, Python","Azure Fundamentals, AWS Certified",Mumbai
Justin Simmons,IIT Delhi,Biotech,2021,2025,8.27,ML Engineer,"Linux, R",,Chennai
Laura Hernandez,IIT Madras,Data Science,2017,2021,7.68,Data Analyst,"Java, MATLAB","Scrum Master, Google Data Analytics",Ahmedabad
Eric Foster,BITS Pilani,AI & ML,2015,2019,9.39,Civil Project Manager,"Linux, AutoCAD",,Pune
Kim Miller,NIT Warangal,Biotech,2020,2024,9.66,Biotech Researcher,"C++, Power BI, MATLAB","Scrum Master, Cisco CCNA",Ahmedabad
Cory Clark,NIT Trichy,Data Science,2017,2021,8.24,Civil Project Manager,"SQL, Java, Excel, R",Azure Fundamentals,Kolkata
Beth Cordova,BITS Pilani,Civil,2018,2022,8.17,Data Analyst,"AutoCAD, SQL, C++, Linux",,Pune
Michael Flores,NIT Warangal,Data Science,2015,2019,7.5,Systems Engineer,"C++, TensorFlow, Linux, MATLAB, Power BI","AWS Certified, Cisco CCNA",Pune
Dr. Morgan Jackson,BITS Pilani,Biotech,2015,2019,8.77,Systems Engineer,"AutoCAD, Java, C++, Linux, SQL",,Bangalore
Eric Alvarado,NIT Trichy,Biotech,2017,2021,6.14,Biotech Researcher,"Excel, R, Linux, AutoCAD, Python",Scrum Master,Hyderabad
Chelsea Rivera,NIT Warangal,Computer Science,2019,2023,8.58,Systems Engineer,"C++, TensorFlow",Google Data Analytics,Delhi
Megan Clark,IIT Bombay,AI & ML,2015,2019,9.98,Data Analyst,"MATLAB, R, AutoCAD",Google Data Analytics,Chennai
Jacqueline Woodard,BITS Pilani,Computer Science,2016,2020,8.56,Systems Engineer,"C++, R, AutoCAD, Power BI","Azure Fundamentals, Scrum Master",Chennai
Andre Mccullough,VIT,Biotech,2016,2020,8.06,Biotech Researcher,"R, SQL","Azure Fundamentals, AWS Certified",Pune
Megan Anderson,IIT Delhi,Computer Science,2018,2022,8.74,ML Engineer,"Linux, AutoCAD","Azure Fundamentals, AWS Certified",Ahmedabad
Mark Morris,IIIT Hyderabad,AI & ML,2020,2024,7.75,Cybersecurity Analyst,"Excel, C++, Linux, SQL",,Ahmedabad
Tracy Stokes,IIT Delhi,AI & ML,2021,2025,8.94,Civil Project Manager,"Java, MATLAB, SQL, C++","Google Data Analytics, Cisco CCNA",Mumbai
Matthew White,IIIT Hyderabad,Electronics,2017,2021,9.92,Mechanical Design Engineer,"R, Python, Linux","AutoCAD Professional, Google Data Analytics",Hyderabad
Joanna Allen,BITS Pilani,Cybersecurity,2018,2022,8.42,ML Engineer,"C++, Java, Excel",,Mumbai
Matthew Cain,IIIT Hyderabad,Civil,2022,2026,8.94,Systems Engineer,"Java, AutoCAD, Excel, Linux, R","AWS Certified, AutoCAD Professional",Hyderabad
Samantha Wade,IIT Madras,Data Science,2016,2020,8.83,ML Engineer,"Java, C++, AutoCAD",,Ahmedabad
Lisa Powell,VIT,Electronics,2017,2021,7.37,Biotech Researcher,"Excel, C++, SQL, R, Power BI","AWS Certified, AutoCAD Professional",Delhi
Joshua Skinner,IIT Bombay,AI & ML,2018,2022,7.58,Systems Engineer,"Excel, Linux, SQL",Scrum Master,Bangalore
Rachel Glenn,NIT Trichy,Electronics,2018,2022,8.22,Cybersecurity Analyst,"Excel, Power BI",Azure Fundamentals,Kolkata
Justin Cooper,IIT Madras,AI & ML,2017,2021,8.66,Civil Project Manager,"SQL, C++",AWS Certified,Hyderabad
William Moore,BITS Pilani,Electronics,2020,2024,8.55,Civil Project Manager,"SQL, C++, Python",,Mumbai
Betty Nguyen,IIT Madras,Mechanical,2022,2026,6.79,Mechanical Design Engineer,"MATLAB, Python, AutoCAD, R, SQL",,Mumbai
Sherry Larson,BITS Pilani,Biotech,2016,2020,6.12,Cybersecurity Analyst,"AutoCAD, MATLAB, Excel, SQL, C++","Cisco CCNA, AWS Certified",Pune
Jonathan Garcia,NIT Trichy,Cybersecurity,2021,2025,8.59,Mechanical Design Engineer,"C++, Linux, Python",Azure Fundamentals,Mumbai
Mark Mathews,IIT Madras,Data Science,2020,2024,7.83,ML Engineer,"Java, C++, MATLAB","AWS Certified, Cisco CCNA",Hyderabad
Victoria Acosta,IIIT Hyderabad,Computer Science,2018,2022,9.89,ML Engineer,"Linux, Power BI, MATLAB, SQL, R","Scrum Master, Google Data Analytics",Delhi
Julie Wells,NIT Trichy,Biotech,2016,2020,7.34,Data Analyst,"Power BI, R, TensorFlow, SQL","Google Data Analytics, Scrum Master",Hyderabad
Susan Garrett,NIT Trichy,Data Science,2022,2026,8.91,Data Analyst,"MATLAB, Linux, Power BI",,Delhi
Victor Ramos,VIT,Data Science,2022,2026,6.65,Software Engineer,"TensorFlow, Python, AutoCAD, R, C++","Scrum Master, Google Data Analytics",Hyderabad
Mercedes Tran,BITS Pilani,AI & ML,2019,2023,8.93,Data Analyst,"AutoCAD, TensorFlow, C++, Linux, R","Azure Fundamentals, Scrum Master",Mumbai
Ryan Clark,IIT Delhi,Civil,2022,2026,8.97,Software Engineer,"Linux, Power BI, MATLAB, AutoCAD, Python","AutoCAD Professional, Cisco CCNA",Pune
David Stone,BITS Pilani,AI & ML,2018,2022,8.02,Mechanical Design Engineer,"R, AutoCAD",Azure Fundamentals,Kolkata
Mrs. Andrea Rowe MD,IIT Delhi,Electronics,2017,2021,8.66,Software Engineer,"Java, SQL, Linux, Python","Scrum Master, Cisco CCNA",Bangalore
Ashley Avila,NIT Warangal,Civil,2017,2021,8.4,Cybersecurity Analyst,"Linux, R","Azure Fundamentals, Cisco CCNA",Ahmedabad
April Mathews,IIIT Hyderabad,AI & ML,2017,2021,7.54,Civil Project Manager,"Java, AutoCAD, R, SQL",Azure Fundamentals,Kolkata
Caleb Stewart,IIT Delhi,AI & ML,2018,2022,9.38,Cybersecurity Analyst,"R, SQL",AutoCAD Professional,Chennai
Katherine Tate,IIIT Hyderabad,Mechanical,2020,2024,6.39,Data Analyst,"Power BI, C++, Linux, SQL","Cisco CCNA, AutoCAD Professional",Hyderabad
Valerie Phelps,NIT Warangal,Computer Science,2019,2023,6.17,Mechanical Design Engineer,"MATLAB, Python, AutoCAD, Excel, Java",,Bangalore
Thomas Padilla,IIT Delhi,Electronics,2018,2022,6.76,Data Analyst,"C++, TensorFlow, Excel, Python",Azure Fundamentals,Chennai
Michael Sanders,BITS Pilani,Mechanical,2018,2022,8.16,Cybersecurity Analyst,"Linux, AutoCAD, R, TensorFlow, MATLAB",Azure Fundamentals,Delhi
Barbara Gray,NIT Warangal,Biotech,2015,2019,6.88,Civil Project Manager,"Power BI, TensorFlow, Python",Azure Fundamentals,Mumbai
Dawn Adams,NIT Trichy,Electronics,2017,2021,8.62,Mechanical Design Engineer,"R, Java, Python",,Kolkata
John Velasquez,IIIT Hyderabad,Computer Science,2018,2022,6.56,Civil Project Manager,"Java, SQL",AutoCAD Professional,Kolkata
Emily Mccarthy,IIT Delhi,Cybersecurity,2016,2020,8.57,ML Engineer,"Python, Excel",,Ahmedabad
Maria Pierce,IIT Delhi,Civil,2018,2022,8.95,Software Engineer,"Linux, Power BI, AutoCAD",AWS Certified,Hyderabad
Dr. Amanda Bird,VIT,Biotech,2018,2022,7.71,Software Engineer,"C++, TensorFlow, MATLAB","Scrum Master, Cisco CCNA",Pune
Jennifer Serrano,NIT Trichy,Biotech,2020,2024,6.96,Software Engineer,"R, Linux",AWS Certified,Delhi
Kevin Allen,BITS Pilani,Electronics,2021,2025,6.35,Data Analyst,"Excel, TensorFlow, Python, Java","AWS Certified, Cisco CCNA",Kolkata
Thomas Miller,NIT Trichy,Mechanical,2018,2022,8.15,Software Engineer,"C++, Power BI, Java, Python","Scrum Master, AutoCAD Professional",Bangalore
Sean Garcia,IIIT Hyderabad,Computer Science,2015,2019,6.45,Biotech Researcher,"TensorFlow, Python, AutoCAD, Linux, Power BI",AWS Certified,Kolkata
Sarah Holmes,IIIT Hyderabad,AI & ML,2022,2026,9.19,ML Engineer,"Power BI, R, MATLAB, Python","Google Data Analytics, AWS Certified",Hyderabad
Daniel Kennedy,IIT Madras,Electronics,2016,2020,8.1,Civil Project Manager,"Power BI, Linux, MATLAB, AutoCAD","AutoCAD Professional, Scrum Master",Bangalore
Alexandria Wise,IIIT Hyderabad,Computer Science,2020,2024,8.34,Software Engineer,"MATLAB, TensorFlow, Power BI",,Kolkata
Travis David,VIT,Cybersecurity,2019,2023,7.26,Systems Engineer,"Linux, MATLAB, Power BI, C++","AutoCAD Professional, AWS Certified",Mumbai
Cory Smith,NIT Warangal,AI & ML,2022,2026,8.4,Data Analyst,"SQL, Java, MATLAB","Scrum Master, AutoCAD Professional",Hyderabad
Edward White,BITS Pilani,Electronics,2022,2026,6.9,Data Analyst,"Python, SQL, Linux, R, MATLAB",Cisco CCNA,Kolkata
Thomas Harris,IIIT Hyderabad,Data Science,2018,2022,6.82,Biotech Researcher,"C++, Excel, Java, R, MATLAB",Cisco CCNA,Mumbai
Kathleen Winters,BITS Pilani,Civil,2021,2025,7.41,Biotech Researcher,"Excel, MATLAB, Java, R","AWS Certified, AutoCAD Professional",Delhi
Arthur Alvarez,VIT,AI & ML,2021,2025,7.19,ML Engineer,"Power BI, Linux, Excel, Python",Google Data Analytics,Chennai
Brittany Berg,IIT Bombay,Electronics,2018,2022,7.81,Software Engineer,"R, C++, Java","Azure Fundamentals, Scrum Master",Mumbai
Alan Thornton,BITS Pilani,Cybersecurity,2019,2023,8.22,ML Engineer,"C++, SQL, Power BI, Java",,Chennai
Tanya Tate,BITS Pilani,Civil,2021,2025,6.53,ML Engineer,"Linux, SQL","Azure Fundamentals, AutoCAD Professional",Bangalore
Mary Werner,VIT,Data Science,2017,2021,6.07,Biotech Researcher,"Java, TensorFlow",Azure Fundamentals,Kolkata
Suzanne Flores,IIIT Hyderabad,Data Science,2018,2022,6.51,Software Engineer,"AutoCAD, C++, Python",,Kolkata
Brandon Garcia,NIT Warangal,AI & ML,2021,2025,6.34,Biotech Researcher,"Excel, Linux","Google Data Analytics, AutoCAD Professional",Pune
Chad Hale,IIT Delhi,Data Science,2016,2020,8.5,Civil Project Manager,"Linux, Java, Power BI, AutoCAD",Azure Fundamentals,Hyderabad
John Johnson,IIT Madras,Civil,2017,2021,7.33,Biotech Researcher,"MATLAB, Linux, SQL, Excel, Python",,Ahmedabad
Kelly Berger,IIT Bombay,AI & ML,2019,2023,8.03,Cybersecurity Analyst,"Linux, Python","AutoCAD Professional, AWS Certified",Delhi
Jerry Hull,IIT Delhi,Computer Science,2022,2026,6.62,Biotech Researcher,"TensorFlow, MATLAB, AutoCAD, Excel, Java",,Mumbai
Julie Trujillo,BITS Pilani,Mechanical,2020,2024,6.24,Civil Project Manager,"AutoCAD, MATLAB",Cisco CCNA,Mumbai
Andre Thompson,IIT Madras,AI & ML,2018,2022,9.48,Cybersecurity Analyst,"Python, Java, C++, MATLAB",Scrum Master,Chennai
Michael Johnson,IIT Madras,Civil,2016,2020,7.83,Software Engineer,"SQL, MATLAB",Scrum Master,Ahmedabad
Jeffrey Brown,VIT,Electronics,2022,2026,9.8,Software Engineer,"Power BI, C++",,Pune
Edward Castillo,IIT Madras,Biotech,2017,2021,8.75,Software Engineer,"AutoCAD, C++, Java, TensorFlow",Cisco CCNA,Bangalore
Kristy Martinez,NIT Warangal,Mechanical,2016,2020,9.55,Mechanical Design Engineer,"Java, Linux, TensorFlow",Scrum Master,Chennai
Douglas Thornton,IIIT Hyderabad,AI & ML,2022,2026,8.98,Systems Engineer,"Linux, Java, R, SQL",AWS Certified,Ahmedabad
Nicole Brown,NIT Warangal,Computer Science,2021,2025,7.54,Data Analyst,"SQL, Power BI, C++, Java",,Kolkata
Sharon Hardy,IIT Madras,Electronics,2020,2024,8.04,Systems Engineer,"Linux, AutoCAD, Power BI, Java, R",AutoCAD Professional,Hyderabad
Elizabeth Morrison,IIIT Hyderabad,Electronics,2019,2023,8.64,Software Engineer,"MATLAB, AutoCAD, Linux",Azure Fundamentals,Hyderabad
Jesse Wells,IIT Delhi,AI & ML,2017,2021,9.49,Data Analyst,"R, AutoCAD",Azure Fundamentals,Ahmedabad
Melanie Mccann,IIT Bombay,Data Science,2017,2021,9.54,Civil Project Manager,"Linux, R, Power BI, Java, Python","Scrum Master, AWS Certified",Ahmedabad
Stephanie Chavez,IIT Madras,Mechanical,2022,2026,6.1,Systems Engineer,"Power BI, AutoCAD, MATLAB",,Mumbai
Chloe Levy,NIT Trichy,Civil,2021,2025,7.07,Data Analyst,"TensorFlow, C++, Power BI",Google Data Analytics,Delhi
Ann Jordan,IIT Delhi,Biotech,2015,2019,9.39,Software Engineer,"TensorFlow, AutoCAD, Linux",,Bangalore
Alexis West,BITS Pilani,Civil,2021,2025,6.8,Biotech Researcher,"Power BI, MATLAB, Linux, R, C++",,Chennai
Rebecca Higgins,IIIT Hyderabad,Mechanical,2022,2026,7.63,Data Analyst,"MATLAB, Python",Cisco CCNA,Delhi
Rebecca Gillespie,BITS Pilani,Computer Science,2017,2021,6.6,Biotech Researcher,"TensorFlow, Linux, Power BI, MATLAB, C++","Cisco CCNA, Azure Fundamentals",Pune
Curtis Neal,BITS Pilani,Cybersecurity,2022,2026,7.96,Biotech Researcher,"Power BI, C++, Linux, MATLAB",,Delhi
Joshua Roach,IIT Bombay,Computer Science,2021,2025,8.71,ML Engineer,"Power BI, Excel, AutoCAD, C++",AWS Certified,Hyderabad
Suzanne Miller,IIT Delhi,Civil,2022,2026,9.03,Data Analyst,"SQL, Java, Linux, TensorFlow","Azure Fundamentals, Scrum Master",Delhi
Jeffery Shields,IIT Bombay,Data Science,2019,2023,6.7,Data Analyst,"AutoCAD, Power BI, TensorFlow, C++",,Hyderabad
Patrick Nelson,IIIT Hyderabad,Biotech,2016,2020,8.55,Systems Engineer,"Python, TensorFlow, MATLAB",,Hyderabad
Kenneth Martinez,IIT Bombay,AI & ML,2020,2024,9.97,ML Engineer,"MATLAB, SQL, Python, Java",Google Data Analytics,Kolkata
Ronald Hoffman,IIT Bombay,Cybersecurity,2017,2021,7.92,Biotech Researcher,"C++, Python, Linux",,Bangalore
Robert Sherman,VIT,Mechanical,2020,2024,6.33,Civil Project Manager,"AutoCAD, SQL, Power BI, R, TensorFlow",AWS Certified,Chennai
Robin Nguyen,IIT Bombay,Computer Science,2018,2022,8.21,Mechanical Design Engineer,"R, C++, Power BI",,Hyderabad
Louis Baker,IIIT Hyderabad,Computer Science,2015,2019,7.32,Software Engineer,"MATLAB, TensorFlow",,Ahmedabad
Tracy Parker,BITS Pilani,Civil,2017,2021,9.29,ML Engineer,"AutoCAD, TensorFlow, Python, Java, SQL",,Pune
Jeffrey Boyd,IIIT Hyderabad,Cybersecurity,2016,2020,8.46,Civil Project Manager,"Power BI, Excel, C++, Linux, R",AutoCAD Professional,Mumbai
Christine Fuller,IIT Madras,Cybersecurity,2022,2026,7.97,Biotech Researcher,"Java, Power BI",,Delhi
David Smith,IIT Delhi,Cybersecurity,2015,2019,6.02,Biotech Researcher,"Excel, Linux, SQL, MATLAB","AWS Certified, AutoCAD Professional",Kolkata
Savannah Lewis,IIIT Hyderabad,Cybersecurity,2018,2022,9.9,Systems Engineer,"Java, MATLAB",,Pune
Samuel Cooper,IIT Madras,Cybersecurity,2015,2019,8.64,Civil Project Manager,"SQL, Linux","Google Data Analytics, Cisco CCNA",Kolkata
Amber Ali,VIT,Data Science,2019,2023,7.82,Software Engineer,"R, SQL, Python, Excel, MATLAB",,Pune
Garrett Baker,IIT Madras,Biotech,2022,2026,7.48,Biotech Researcher,"Python, AutoCAD, Excel, C++",Azure Fundamentals,Chennai
Christopher Medina,NIT Trichy,Civil,2020,2024,6.4,Mechanical Design Engineer,"SQL, Linux",Azure Fundamentals,Delhi
Michael Sutton,IIT Delhi,Data Science,2020,2024,9.35,Cybersecurity Analyst,"AutoCAD, Linux",Google Data Analytics,Chennai
Justin Benjamin,IIT Bombay,Biotech,2020,2024,8.27,Software Engineer,"R, Linux","Cisco CCNA, AutoCAD Professional",Bangalore
Bonnie Baker,NIT Warangal,Mechanical,2019,2023,8.68,Systems Engineer,"Excel, Power BI, R, SQL, MATLAB",AutoCAD Professional,Kolkata
Anne Ortiz,NIT Warangal,Computer Science,2015,2019,9.88,Civil Project Manager,"Power BI, Python, Linux, Excel","Azure Fundamentals, AutoCAD Professional",Mumbai
David Rodriguez,BITS Pilani,Data Science,2020,2024,9.55,Software Engineer,"MATLAB, SQL, TensorFlow, C++, Python",,Pune
Jerry Lopez,IIT Madras,Civil,2020,2024,7.43,Civil Project Manager,"AutoCAD, C++, Java, Linux, MATLAB",,Kolkata
James Carlson,NIT Trichy,Data Science,2016,2020,9.27,Systems Engineer,"Java, AutoCAD",Azure Fundamentals,Hyderabad
Courtney Wood,IIT Bombay,Cybersecurity,2018,2022,6.92,Systems Engineer,"TensorFlow, Excel, AutoCAD, R","Azure Fundamentals, AWS Certified",Mumbai
Amanda Petersen,VIT,Cybersecurity,2022,2026,9.85,Civil Project Manager,"Python, TensorFlow, Linux",AutoCAD Professional,Hyderabad
Leonard Fleming,IIT Delhi,Civil,2015,2019,8.59,ML Engineer,"MATLAB, TensorFlow, R","AWS Certified, Scrum Master",Hyderabad
Mr. Ronald Stewart,NIT Trichy,Electronics,2018,2022,9.6,Software Engineer,"Java, TensorFlow, Python",,Kolkata
Alfred Floyd,IIT Delhi,Cybersecurity,2018,2022,8.55,Civil Project Manager,"Excel, R, TensorFlow, Python, Linux","Azure Fundamentals, Google Data Analytics",Kolkata
Melinda Hall,VIT,Civil,2018,2022,7.6,Civil Project Manager,"MATLAB, AutoCAD, SQL","Azure Fundamentals, AutoCAD Professional",Delhi
Barbara Johnson,NIT Warangal,Cybersecurity,2020,2024,8.38,Civil Project Manager,"Java, TensorFlow",,Chennai
Jason Mccoy,IIT Delhi,Data Science,2016,2020,6.67,Civil Project Manager,"Excel, Java",Google Data Analytics,Chennai
Michael Delgado,VIT,AI & ML,2022,2026,6.35,Biotech Researcher,"MATLAB, C++, Java",AWS Certified,Delhi
Kevin Jackson,VIT,AI & ML,2021,2025,8.36,Cybersecurity Analyst,"Excel, Python, SQL, R, C++",,Mumbai
Samuel Savage,VIT,Civil,2017,2021,7.29,Software Engineer,"Linux, Java, R, Power BI, AutoCAD","AutoCAD Professional, Cisco CCNA",Kolkata
Tammy Townsend,NIT Warangal,Mechanical,2022,2026,6.3,Software Engineer,"AutoCAD, MATLAB, TensorFlow, Linux, Power BI",,Kolkata
Crystal Caldwell,VIT,Data Science,2020,2024,9.34,Mechanical Design Engineer,"Linux, Java, R, SQL, MATLAB",,Bangalore
Jerry Burton,VIT,Cybersecurity,2022,2026,7.76,Mechanical Design Engineer,"R, Java, Excel, TensorFlow",AWS Certified,Chennai
Larry Walker,VIT,Electronics,2022,2026,6.58,Cybersecurity Analyst,"Linux, AutoCAD, Power BI, R, Python",Azure Fundamentals,Pune
